CultureCodeA,WordInCultureA,CultureCodeB,WordInCultureB,Mnemonic
nl-NL,alsjeblieft,pl-PL,proszę,"proost, maar dan toch niet"
nl-NL,blij,pl-PL,szczęśliwy,thuis liever
nl-NL,buurman,pl-PL,sąsiad,~waar de zon schijnt / zo'n schat
nl-NL,chocolade,pl-PL,czekolada,-
nl-NL,dank je,pl-PL,dziękuję,drink koeien / gin koeien
nl-NL,eten,pl-PL,jeść,yes! Lekker eten!
nl-NL,gast,pl-PL,gość,-
nl-NL,gevaarlijk,pl-PL,niebezpieczne,niet zo mooi
nl-NL,goed,pl-PL,dobrze,"als je goedemorgen heb onthouden, dan is deze ook niet meer zo moelijk"
nl-NL,goedemorgen,pl-PL,dzień dobry,dan dobberen in bad (ik douch eigenlijk)
nl-NL,hallo,pl-PL,cześć,
nl-NL,handig,pl-PL,poręczny,porretje / porretje hier porretje daar
nl-NL,hé,pl-PL,hej,
nl-NL,helpen,pl-PL,pomoc,"dan zeg je: 'pom, pom, pom' en het mot (toch niet, want helpen is niet moeten, helpen is leuk)"
nl-NL,hij,pl-PL,on,
nl-NL,ik,pl-PL,ja,
nl-NL,ja,pl-PL,tak,
nl-NL,jij,pl-PL,ty,
nl-NL,jullie,pl-PL,wy,
nl-NL,kerel,pl-PL,chłopak,
nl-NL,kerels,pl-PL,chłopaki,
nl-NL,koek,pl-PL,ciasto,kraakt
nl-NL,koekjes,pl-PL,ciasteczka,kraakt
nl-NL,koffie,pl-PL,kawa,-
nl-NL,leren,pl-PL,uczyć się,uit jeze(lf)
nl-NL,leuk,pl-PL,miły,
nl-NL,moeilijk,pl-PL,trudne,
nl-NL,mooi,pl-PL,piękne,"pienkje, van een blinkje dat verschijnt en verdwijnt"
nl-NL,muziek,pl-PL,muzyka,
nl-NL,mysterie,pl-PL,tajemnica,
nl-NL,piano,pl-PL,fortepian,-
nl-NL,Pools,pl-PL,Polski,
nl-NL,sociaal,pl-PL,towarzyski,tof als je skiet
nl-NL,succes,pl-PL,sukces,-
nl-NL,televisie,pl-PL,telewizja,
nl-NL,tot later,pl-PL,do później,
nl-NL,avond,pl-PL,wieczór,vet-uur (als de friet aangaat)
nl-NL,veel,pl-PL,dużo,
nl-NL,verstaan,pl-PL,rozumiem,"miem zegt niks, dus rozumiem"
nl-NL,wij,pl-PL,my,
nl-NL,willen,pl-PL,chcę,
nl-NL,ze (meervoud),pl-PL,oni,
nl-NL,ze (vrouwelijk enkelvoud),pl-PL,ona,
nl-NL,kopen,pl-PL,kup,
nl-NL,besteld,pl-PL,zamówione,"wordt ge'moved', jongen"
nl-NL,gekocht,pl-PL,kupił,kopen en dan 'Pieuw!' het is gezorgd.
nl-NL,wat,pl-PL,co,
nl-NL,aardig,pl-PL,uprzejmy,oops slijmen
nl-NL,hobby,pl-PL,hobby,-
nl-NL,doen,pl-PL,zrób to,
nl-NL,ontspannen,pl-PL,zrelaksować się,relax zich
nl-NL,woord,pl-PL,słowo,swave
nl-NL,krijgen,pl-PL,dostać,toegestoken
nl-NL,geven,pl-PL,daj,Latijns dare
nl-NL,pijn,pl-PL,ból,fouten 'boel'
nl-NL,iemand,pl-PL,ktoś,
nl-NL,melk,pl-PL,mleko,-
nl-NL,vriendelijk,pl-PL,przyjazny,heb je je jas nou
